<<<<<<< Updated upstream
,Sensor Statistics,Execution Time
Query Execution Time (seconds),,0.0
=======
_id,battery_data,recording_id,sensor_location
User1-220617-Bag_Battery,"{'timestamp': 1498120321440, 'battery_level': 100, 'temperature': 27.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498120723423, 'battery_level': 100, 'temperature': 26.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498120783486, 'battery_level': 100, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498120871182, 'battery_level': 100, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498121040416, 'battery_level': 100, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498121100493, 'battery_level': 100, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498121383137, 'battery_level': 100, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498121443198, 'battery_level': 100, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498121742464, 'battery_level': 100, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498121802524, 'battery_level': 100, 'temperature': 24.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498121883873, 'battery_level': 100, 'temperature': 24.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498121943934, 'battery_level': 100, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498122044541, 'battery_level': 100, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498122071182, 'battery_level': 100, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498122189665, 'battery_level': 100, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498122249726, 'battery_level': 100, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498122671181, 'battery_level': 100, 'temperature': 26.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498122998363, 'battery_level': 99, 'temperature': 26.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498123252572, 'battery_level': 99, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498123271181, 'battery_level': 99, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498123460673, 'battery_level': 99, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498123520765, 'battery_level': 99, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498123580792, 'battery_level': 99, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498123718434, 'battery_level': 99, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498123778492, 'battery_level': 99, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498123838552, 'battery_level': 99, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498123870680, 'battery_level': 98, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498123871181, 'battery_level': 98, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498124024100, 'battery_level': 98, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498124084160, 'battery_level': 98, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498124144183, 'battery_level': 98, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498124324142, 'battery_level': 98, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498124384190, 'battery_level': 98, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498124444259, 'battery_level': 98, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498124471184, 'battery_level': 98, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498124552610, 'battery_level': 98, 'temperature': 26.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498124623743, 'battery_level': 98, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498124743866, 'battery_level': 98, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498124773086, 'battery_level': 97, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498124971585, 'battery_level': 97, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498125031647, 'battery_level': 97, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498125071181, 'battery_level': 97, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498125214595, 'battery_level': 97, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498125293347, 'battery_level': 97, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498125353409, 'battery_level': 97, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498125413426, 'battery_level': 97, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498125473483, 'battery_level': 97, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498125645152, 'battery_level': 97, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498125671184, 'battery_level': 97, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498125705555, 'battery_level': 96, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498125765611, 'battery_level': 96, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498125885160, 'battery_level': 96, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498126005273, 'battery_level': 96, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498126185241, 'battery_level': 96, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498126271205, 'battery_level': 96, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498126331249, 'battery_level': 96, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498126391309, 'battery_level': 96, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498126485282, 'battery_level': 96, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498126545342, 'battery_level': 96, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498126785192, 'battery_level': 96, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498126845244, 'battery_level': 96, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498126871183, 'battery_level': 96, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498126931245, 'battery_level': 96, 'temperature': 26.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498126938827, 'battery_level': 95, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498127145345, 'battery_level': 95, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498127205401, 'battery_level': 95, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498127449474, 'battery_level': 95, 'temperature': 25.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498127471194, 'battery_level': 95, 'temperature': 26.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498127841250, 'battery_level': 94, 'temperature': 26.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498127901246, 'battery_level': 94, 'temperature': 26.0}",User1-220617,bag
User1-220617-Bag_Battery,"{'timestamp': 1498127990561, 'battery_level': 94, 'temperature': 26.0}",User1-220617,bag
